K,R2_Total,R2_Pred,xR2_Total,xR2_Pred
1,0.5352,0.0056,0.9536,0.0127
2,0.5597,0.0134,0.9716,0.0153
3,0.5753,0.0177,0.9834,0.0184
4,0.5855,0.0183,0.9892,0.0185
5,0.5928,0.0183,0.9925,0.0185
6,0.5985,0.0174,0.9961,0.0178
