K,R2_Total,R2_Pred,xR2_Total,xR2_Pred
1,0.1039,0.0027,0.6682,0.0169
3,0.1415,0.0037,0.8696,0.0212
4,0.1521,0.0033,0.8932,0.02
5,0.1464,0.0038,0.8809,0.0212
6,0.1559,0.0034,0.9017,0.0201
