K,R2_Total,R2_Pred,xR2_Total,xR2_Pred
1,0.5484,0.019,0.959,0.0187
2,0.5685,0.0188,0.9796,0.0186
3,0.5794,0.0187,0.9838,0.0181
4,0.5884,0.0186,0.9914,0.018
5,0.5947,0.0187,0.993,0.0181
6,0.6002,0.0184,0.9964,0.0182
