K,R2_Total,R2_Pred,xR2_Total,xR2_Pred
1,0.148,0.0035,0.8776,0.0207
2,0.1639,0.0034,0.9331,0.0205
3,0.1742,0.0041,0.9706,0.0212
4,0.1805,0.0042,0.9798,0.0216
5,0.1856,0.0069,0.9835,0.0193
6,0.1888,0.0068,0.987,0.0186
